mark,publication_date,file_text,author,title,год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,HC,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,автор2,автор3,линк,номер,время,Ссылка на выпуск обзора.1,"год попадания, из исходной редакции, без ""округления""",Unnamed: 22,Unnamed: 23,Unnamed: 24,Служебные отметки,LC,link_domain,num_pers
3.6*84,-,Лернер_Марик_Совсем_не_прогрессор.txt,Лернер Марик,Совсем не прогрессор,2000,Лернер Марик,Совсем не прогрессор,,"Нормальный человек не стремится непременно все изменить. Зачем? Он и так живет в самом лучшем на свете государстве - СССР. На дворе 2000-е, и жизнь в целом удалась. Есть, правда, бытовые мелочи и мелкие недостатки, но для их исправления революции не требуются. А еще есть начальство, и оно без оформления необходимых бумаг отправляет в командировку неведомо куда. В абсолютно невозможную, разлагающуюся буржуазную Россию. И там уже придется рассчитывать исключительно на себя.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/331255,,,#Н/Д,2000.0,,,,+++++,,flibusta.is,398
1.5*31,-,Нилан_Ник_Белый_архив.txt,Нилан Ник,Белый архив,1990,Нилан Ник,Белый архив,,"Он скатился на дно, залез в долги, ввязался в ограбление и отмотал срок. Пуля в голову - таково было завершение его бессмысленного существования. Однако вместо небытия он проснулся в детской кроватке. Его взяла на руки давно умершая родная мать и давно погибший отец. Он начал заново собственную жизнь. Взрослым мужчиной в теле младенца. Второй шанс выпал ему неслучайно. Его имя в 'Белом архиве', наряду с великими, как Тесла или Эйнштейн. И данная честь обязывает на выполнение важной миссии.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/462920,,,#Н/Д,1990.0,,,,+++++,,flibusta.is,178
4.3*3,-,Малов_Владимир_Зачет_по_натуральной_истории.txt,Малов Владимир,Зачет по натуральной истории,1989,Малов Владимир,Зачет по натуральной истории,,"Урок ботаники в обычном классе обычной московской был прерван непонятным явлением — в классе начали раздаваться непонятные посторонние голоса. Учительница в истерике, одноклассники теряются в догадках, а друзья Петр и Костя решают не гадать, а выяснить, в чем дело, и постараться вступить в контакт с... инопланетянами?",***,3,издано,127,ссылка на обзор,ссылка,OK,07.02.23 16:50 ИВМ,,год анотация  IMRYK 16/2,,,http://flibusta.is/b/305424,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-127-606f458dc575c815f08dacf4,,,,,+++++,,flibusta.is,93
1.4*7,-,Соловьев_Роман_Сквозь_время.txt,Соловьев Роман ,Сквозь время,1989,Соловьев Роман ,Сквозь время,,"Мог ли подумать Сергей Павлович Кузнецов, когда утром ехал на работу, что вечером он опять станет двенадцатилетним пионером и окажется в далеком 1989 году. В прошлом он встретит молодых родителей и сестру, снова сядет за школьную парту и даже попытается исправить трагическое событие прошлого...",***,3,закончено,93,ссылка на обзор,ссылка,OK,07.02.23 16:50 ИВМ,,,,,http://flibusta.is/b/600973,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-93-5f93ca72a81c50318e55f8f9,,,,,+++++,,flibusta.is,207
1.8*21,-,Рагорин_Алексей_Ракетчики.txt,Рагорин Алексей,Ракетчики,1988,Рагорин Алексей,Ракетчики,,"Колониализм, общество разврата и потребления довело планету до ядерной зимы. Человечество медленно вымирало. Волхв русов дал шанс на спасение. Использовать этот шанс выпала судьба воинам-ракетчикам.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/499681,,,#Н/Д,1988.0,,,,+++++,,flibusta.is,1612
2.1*21,-,Пикринов_Е.И._1._Прерванная_поездка.txt,Пикринов Е.И.,1. Прерванная поездка,1986,Пикринов Е.И.,1. Прерванная поездка,Прерванная поездка,"Геолог из современной Москвы переносится сам в себя и на Дальний Восток. Устраивает покушение на Горбачева, Ельцина, Чубайса и прочих.",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/343793,,,#Н/Д,1986.0,,,,+++++,,flibusta.is,349
1.4*11,-,Карлов_Борис_Очертя_голову_в_1982-й.txt,Карлов Борис,Очертя голову в 1982-й,1982,Карлов Борис,Очертя голову в 1982-й,,"Трое попаданцев во времена Брежнева. Ужасный стиль, присутствуют порнографические сцены.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/113762,,,#Н/Д,1982.0,,,,+++++,,flibusta.is,379
2.4*67,-,Плетнев_Александр_1._Одинокий_рейд.txt,Плетнев Александр,1. Одинокий рейд,1982,Плетнев Александр,1. Одинокий рейд,Проект 'Орлан',"Тяжёлый атомный ракетный крейсер ""Пётр Великий"" провалился из наших времён в южную Атлантику 1982 года неподалеку от территории Фолклендского конфликта - двухсотмильной зоны англо-аргентинской войны. Советское руководство открестилось от них, британцы объявили пиратами, и экипаж корабля был вынужден вступить в войну под аргентинским флагом. Но когда спецслужбы США узнали о необычном происхождении корабля, янки вынудили Аргентину отказаться от его помощи и попытались захватить ценный артефакт.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/484066,,,#Н/Д,1982.0,,,,+++++,,flibusta.is,177
2.8*37,-,Плетнев_Александр_2._Курс_на_прорыв.txt,Плетнев Александр,2. Курс на прорыв,1982,Плетнев Александр,2. Курс на прорыв,Проект 'Орлан',"Тяжёлый атомный ракетный крейсер ""Пётр Великий"" провалился из наших времён в южную Атлантику 1982 года неподалеку от территории Фолклендского конфликта - двухсотмильной зоны англо-аргентинской войны. Советское руководство открестилось от них, британцы объявили пиратами, и экипаж корабля был вынужден вступить в войну под аргентинским флагом. Но когда спецслужбы США узнали о необычном происхождении корабля, янки вынудили Аргентину отказаться от его помощи и попытались захватить ценный артефакт.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/511510,,,#Н/Д,1982.0,,,,+++++,,flibusta.is,201
3.1*89,-,Семенов_Александр_Нетрадиция.txt,Семенов Александр,Нетрадиция,1979,Семенов Александр,Нетрадиция,,Перемещение военно-морского лётчика в себя в год 1979.,**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/525065,,,#Н/Д,1979.0,,,,+++++,,flibusta.is,361
